event_id,event_name,category,description,tags,location,date,organizer
34,Innovation Challenge,Entrepreneurship,Solve real-world business problems,"Innovation,Problem Solving",Innovation Hub,2026-06-25,Innovation Club
35,Marketing Masterclass,Entrepreneurship,Digital marketing strategies and tools,"Marketing,Business,Branding",Lab 2,2026-06-28,Management Club
36,Finance Basics Workshop,Entrepreneurship,Introduction to startup finance,"Finance,Investment,Business",Seminar Hall,2026-07-01,Finance Society
37,Product Management Session,Entrepreneurship,Building and managing products,"Product,Management,Startup",Innovation Center,2026-07-03,PM Club
38,Networking Summit,Entrepreneurship,Connect with industry professionals,"Networking,Career,Business",Conference Hall,2026-07-05,Career Cell
39,Investor Meet,Entrepreneurship,Meet startup investors and mentors,"Investment,Startup,Funding",Auditorium,2026-07-08,E-Cell
40,Entrepreneurship Bootcamp,Entrepreneurship,Intensive startup building program,"Startup,Innovation,Business",Innovation Hub,2026-07-10,E-Cell

41,Research Methodology Workshop,Research,Learn academic research techniques,"Research,Academics,Study",Seminar Hall,2026-06-15,Research Cell
42,Paper Writing Seminar,Research,How to write research papers,"Research,Writing,Publication",Library Hall,2026-06-18,Research Society
43,Data Science Symposium,Research,Research presentations in data science,"Data Science,Research,Analytics",Auditorium,2026-06-22,DS Society
44,AI Research Colloquium,Research,Latest trends in AI research,"AI,Research,Innovation",Seminar Hall,2026-06-25,AI Research Group
45,Bioinformatics Seminar,Research,Applications of computing in biology,"Biology,Research,Data",Conference Hall,2026-06-28,Bio Club
46,Robotics Research Expo,Research,Research projects in robotics,"Robotics,Research,Engineering",Innovation Center,2026-07-01,Robotics Club
47,Academic Conference,Research,Student research presentations,"Research,Presentation,Academics",Auditorium,2026-07-03,Research Cell
48,Innovation Research Summit,Research,Research and innovation showcase,"Innovation,Research,Technology",Conference Hall,2026-07-06,Innovation Club
49,Publication Guidance Session,Research,Publishing in journals and conferences,"Research,Publication,Writing",Library Hall,2026-07-08,Research Society
50,Research Showcase,Research,Exhibition of student research work,"Research,Projects,Academics",Exhibition Hall,2026-07-10,Research Cell
